IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
15.164.104.224	8080	80	FALSE	ICN	Asia Pacific	Seoul	72	0
15.165.63.136	2095	80	FALSE	ICN	Asia Pacific	Seoul	73	0
13.209.166.73	80	8080	FALSE	ICN	Asia Pacific	Seoul	74	0
13.238.235.196	2082	80	FALSE	SYD	Oceania	Sydney	92	0
13.238.235.196	2083	80	FALSE	SYD	Oceania	Sydney	92	0
13.237.94.188	2096	80	FALSE	SYD	Oceania	Sydney	92	0
13.238.235.196	2095	80	FALSE	SYD	Oceania	Sydney	92	0
13.238.235.196	2052	80	FALSE	SYD	Oceania	Sydney	92	0
13.238.235.196	2087	80	FALSE	SYD	Oceania	Sydney	92	0
13.238.235.196	2096	80	FALSE	SYD	Oceania	Sydney	92	0
3.105.12.136	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2095	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2086	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.185.150	2082	80	FALSE	SYD	Oceania	Sydney	93	0
52.62.216.87	2087	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.12.136	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.223.44	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2095	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2082	80	FALSE	SYD	Oceania	Sydney	93	0
52.62.216.87	2096	80	FALSE	SYD	Oceania	Sydney	93	0
13.238.235.196	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.237.94.188	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.81.122	2052	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2086	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.185.150	2083	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2082	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2052	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.12.136	2086	80	FALSE	SYD	Oceania	Sydney	93	0
13.211.39.36	443	443	TRUE	SYD	Oceania	Sydney	93	0
3.105.185.150	2096	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.185.150	2095	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.24.122	2087	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2096	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.12.136	2087	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.185.150	2086	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.65.61	2087	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.24.122	2052	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.24.122	2082	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.65.61	2053	80	FALSE	SYD	Oceania	Sydney	93	0
13.54.173.154	2053	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.12.136	2095	80	FALSE	SYD	Oceania	Sydney	93	0
13.236.104.165	2053	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.12.136	2052	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.65.61	2082	80	FALSE	SYD	Oceania	Sydney	93	0
3.105.24.122	2053	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.36.23	2082	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.65.61	2052	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.12.136	2083	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.65.61	2086	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.185.150	2087	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.65.61	2096	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.24.122	2095	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.24.122	2083	80	FALSE	SYD	Oceania	Sydney	94	0
3.105.185.150	2053	80	FALSE	SYD	Oceania	Sydney	95	0
3.105.12.136	2096	80	FALSE	SYD	Oceania	Sydney	97	0
3.105.24.122	2086	80	FALSE	SYD	Oceania	Sydney	97	0
13.236.104.165	2096	80	FALSE	SYD	Oceania	Sydney	99	0
13.236.104.165	2095	80	FALSE	SYD	Oceania	Sydney	102	0
3.105.65.61	2083	80	FALSE	SYD	Oceania	Sydney	103	0
3.105.65.61	2095	80	FALSE	SYD	Oceania	Sydney	105	0
16.162.172.91	2096	80	FALSE	HKG	Asia Pacific	Hong Kong	147	0
16.162.177.179	2053	80	FALSE	HKG	Asia Pacific	Hong Kong	151	0
13.36.162.145	2052	80	FALSE	CDG	Europe	Paris	242	0
13.36.24.111	2052	80	FALSE	CDG	Europe	Paris	242	0
15.236.116.199	2052	80	FALSE	CDG	Europe	Paris	242	0
13.36.162.145	2082	80	FALSE	CDG	Europe	Paris	242	0
13.36.162.145	2095	80	FALSE	CDG	Europe	Paris	242	0
13.36.24.111	2082	80	FALSE	CDG	Europe	Paris	242	0
13.36.162.145	2087	80	FALSE	CDG	Europe	Paris	242	0
13.36.63.124	2082	80	FALSE	CDG	Europe	Paris	243	0
15.236.116.199	2082	80	FALSE	CDG	Europe	Paris	243	0
13.36.253.240	2052	80	FALSE	CDG	Europe	Paris	243	0
13.36.230.17	8443	443	TRUE	CDG	Europe	Paris	243	0
18.130.70.64	2087	443	TRUE	LHR	Europe	London	243	0
18.130.249.35	443	443	TRUE	LHR	Europe	London	243	0
18.130.46.243	80	443	TRUE	LHR	Europe	London	243	0
13.40.178.181	80	443	TRUE	LHR	Europe	London	244	0
13.37.81.133	2096	443	TRUE	CDG	Europe	Paris	244	0
18.132.38.0	8443	443	TRUE	LHR	Europe	London	244	0
13.40.193.10	8080	443	TRUE	LHR	Europe	London	244	0
52.60.241.195	2052	80	FALSE	YUL	North America	Montréal	247	0
52.60.241.195	2086	80	FALSE	YUL	North America	Montréal	247	0
3.97.1.47	2053	80	FALSE	YUL	North America	Montréal	248	0
15.161.216.233	2095	80	FALSE	MXP	Europe	Milan	248	0
15.161.216.233	2053	80	FALSE	MXP	Europe	Milan	248	0
15.223.65.214	443	443	TRUE	YUL	North America	Montréal	248	0
3.97.1.47	2082	80	FALSE	YUL	North America	Montréal	248	0
15.161.74.249	2095	80	FALSE	MXP	Europe	Milan	248	0
15.160.80.28	2096	80	FALSE	MXP	Europe	Milan	248	0
15.161.216.233	2087	80	FALSE	MXP	Europe	Milan	250	0
15.160.250.170	2086	80	FALSE	MXP	Europe	Milan	250	0
52.60.241.195	2095	80	FALSE	YUL	North America	Montréal	250	0
15.160.80.28	2087	80	FALSE	MXP	Europe	Milan	250	0
15.160.15.101	2095	80	FALSE	MXP	Europe	Milan	250	0
15.160.252.181	2095	80	FALSE	MXP	Europe	Milan	251	0
13.36.162.145	2086	80	FALSE	CDG	Europe	Paris	251	0
18.132.97.129	80	443	TRUE	LHR	Europe	London	251	0
13.40.170.1	80	443	TRUE	LHR	Europe	London	251	0
13.36.24.111	2096	80	FALSE	CDG	Europe	Paris	251	0
15.236.116.199	2096	80	FALSE	CDG	Europe	Paris	251	0
13.37.16.132	443	443	TRUE	CDG	Europe	Paris	251	0
13.36.162.145	2053	80	FALSE	CDG	Europe	Paris	251	0
13.36.253.240	2086	80	FALSE	CDG	Europe	Paris	251	0
13.36.63.124	2095	80	FALSE	CDG	Europe	Paris	251	0
52.60.241.195	2053	80	FALSE	YUL	North America	Montréal	251	0
13.36.63.124	2052	80	FALSE	CDG	Europe	Paris	251	0
15.160.15.101	2082	80	FALSE	MXP	Europe	Milan	252	0
13.36.253.240	2096	80	FALSE	CDG	Europe	Paris	252	0
18.171.225.232	8443	80	FALSE	ORD	North America	Chicago	252	0
18.130.108.148	80	443	TRUE	LHR	Europe	London	252	0
18.130.154.72	80	443	TRUE	LHR	Europe	London	252	0
18.132.41.73	80	443	TRUE	LHR	Europe	London	252	0
15.188.168.174	2082	80	FALSE	CDG	Europe	Paris	252	0
18.132.84.104	8443	443	TRUE	LHR	Europe	London	252	0
54.194.162.247	80	80	FALSE	DUB	Europe	Dublin	252	0
13.40.193.211	8080	443	TRUE	LHR	Europe	London	253	0
18.202.149.25	2087	80	FALSE	DUB	Europe	Dublin	253	0
18.132.38.0	2053	443	TRUE	LHR	Europe	London	255	0
3.96.246.140	2053	80	FALSE	YUL	North America	Montréal	256	0
15.161.215.18	2052	80	FALSE	MXP	Europe	Milan	256	0
15.161.215.18	2087	80	FALSE	MXP	Europe	Milan	256	0
15.160.252.181	2082	80	FALSE	MXP	Europe	Milan	257	0
15.161.186.110	2083	80	FALSE	MXP	Europe	Milan	257	0
15.160.250.170	2053	80	FALSE	MXP	Europe	Milan	257	0
52.60.241.195	2082	80	FALSE	YUL	North America	Montréal	257	0
15.161.74.249	2087	80	FALSE	MXP	Europe	Milan	258	0
15.161.186.110	2095	80	FALSE	MXP	Europe	Milan	258	0
15.160.252.181	2086	80	FALSE	MXP	Europe	Milan	259	0
3.123.32.137	8080	80	FALSE	FRA	Europe	Frankfurt	259	0
15.222.60.154	80	443	TRUE	YUL	North America	Montréal	259	0
52.60.241.195	2083	80	FALSE	YUL	North America	Montréal	260	0
15.223.51.243	443	443	TRUE	YUL	North America	Montréal	260	0
18.202.149.25	2052	80	FALSE	DUB	Europe	Dublin	261	0
18.132.164.98	443	443	TRUE	LHR	Europe	London	264	0
13.53.47.110	2087	80	FALSE	ARN	Europe	Stockholm	267	0
13.51.138.200	2053	80	FALSE	ARN	Europe	Stockholm	267	0
13.51.138.200	2095	80	FALSE	OSL	Europe	Oslo	267	0
13.49.119.167	2095	80	FALSE	ARN	Europe	Stockholm	268	0
13.49.119.167	2082	80	FALSE	OSL	Europe	Oslo	268	0
52.60.241.195	2096	80	FALSE	YUL	North America	Montréal	268	0
13.49.6.192	2082	80	FALSE	CPH	Europe	Copenhagen	268	0
13.49.6.192	2095	80	FALSE	ARN	Europe	Stockholm	268	0
13.49.119.167	2087	80	FALSE	ARN	Europe	Stockholm	268	0
13.49.119.167	2086	80	FALSE	ARN	Europe	Stockholm	268	0
15.223.54.123	443	443	TRUE	YUL	North America	Montréal	268	0
13.53.47.110	2082	80	FALSE	ARN	Europe	Stockholm	268	0
13.51.138.200	2083	80	FALSE	ARN	Europe	Stockholm	268	0
15.222.238.60	2053	443	TRUE	YUL	North America	Montréal	269	0
13.51.138.200	2082	80	FALSE	CPH	Europe	Copenhagen	269	0
15.222.248.184	80	443	TRUE	YUL	North America	Montréal	271	0
13.51.138.200	2086	80	FALSE	OSL	Europe	Oslo	276	0
13.49.119.167	2053	80	FALSE	OSL	Europe	Oslo	276	0
