IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.218.53.110	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	19015 kB/s
47.243.91.58	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	18895 kB/s
47.76.32.108	2083	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	16501 kB/s
8.217.232.246	2096	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	16038 kB/s
47.242.157.96	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	15814 kB/s
47.242.155.183	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	15667 kB/s
8.210.156.6	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	15378 kB/s
47.76.49.246	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	15177 kB/s
8.218.204.128	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	15086 kB/s
8.210.34.188	2083	TRUE	HKG	Asia Pacific	Hong Kong	77 ms	14351 kB/s
8.217.250.222	2096	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	14324 kB/s
47.243.42.219	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	13331 kB/s
47.76.37.57	2096	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	13313 kB/s
47.76.159.146	2083	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	13171 kB/s
8.210.65.1	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	13104 kB/s
47.242.174.27	2083	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	13020 kB/s
8.210.245.224	2053	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	12552 kB/s
47.243.206.150	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	12398 kB/s
47.242.202.230	2083	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	12348 kB/s
8.210.174.156	2053	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	11996 kB/s
8.218.53.110	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	11932 kB/s
